obs,Have you ever visited Sticks Kebob Shop?,How many times in the last week did you do the following? - Make/eat lunch at home,How many times in the last week did you do the following? - Bring lunch to work,How many times in the last week did you do the following? - Buy lunch at work,How many times in the last week did you do the following? - Buy lunch at restaurant,How many times in the last week did you do the following? - Skipped lunch,How many times in the last week did you do the following? - Other,Please specify the top five restaurants you have visited in the last six months in order of visit frequency. - Most frequent,Please specify the top five restaurants you have visited in the last six months in order of visit frequency. - Second most frequent,Please specify the top five restaurants you have visited in the last six months in order of visit frequency. - Third most frequent,Please specify the top five restaurants you have visited in the last six months in order of visit frequency. - Fourth most frequent,Please specify the top five restaurants you have visited in the last six months in order of visit frequency. - Fifth most frequent,Please indicate how important the following factors are when you visit a restaurant - Convenient,Please indicate how important the following factors are when you visit a restaurant - Variety,Please indicate how important the following factors are when you visit a restaurant - Value,Please indicate how important the following factors are when you visit a restaurant - Healthy,Please indicate how important the following factors are when you visit a restaurant - Taste,Please indicate how important the following factors are when you visit a restaurant - Staff,Please indicate how important the following factors are when you visit a restaurant - Ambiance,Please indicate how important the following factors are when you visit a restaurant - Consistency,Please indicate how important the following factors are when you visit a restaurant - Community,Please indicate how important the following factors are when you visit a restaurant - Other,What is your gender?,What is your age?,What is your approximate average annual household income?,How would you best describe your household type?,"How many children, by age, currently live in your household? - Less than 12","How many children, by age, currently live in your household? - 12-17","How many children, by age, currently live in your household? - 18+",Please indicate your best answers to the following: I tend to plan things very carefully,Please indicate your best answers to the following: I sometimes have trouble controlling my spending,Please indicate your best answers to the following: I think it is important to purchase products that are made locally,Please indicate your best answers to the following: I carefully consider the health benefits of what I eat,Please indicate your best answers to the following: Comments,What is your profession? - Accountant,What is your profession? - Lawyer,What is your profession? - General purpose contractor,What is your profession? - Design,What is your profession? - Educator,What is your profession? - Homemaker,What is your profession? - Business professional,What is your profession? - Other,"If you have children living at home, in what activities do they participate? - Soccer","If you have children living at home, in what activities do they participate? - Football","If you have children living at home, in what activities do they participate? - Tennis","If you have children living at home, in what activities do they participate? - Lacrosse","If you have children living at home, in what activities do they participate? - Swimming","If you have children living at home, in what activities do they participate? - Music","If you have children living at home, in what activities do they participate? - Hiking","If you have children living at home, in what activities do they participate? - Visiting local attractions","If you have children living at home, in what activities do they participate? - Visiting children's museums","If you have children living at home, in what activities do they participate? - Attending local sporting events","If you have children living at home, in what activities do they participate? - Other",In what activities or hobbies do you participate yourself? - Volunteer work,In what activities or hobbies do you participate yourself? - Tennis,In what activities or hobbies do you participate yourself? - Swimming,In what activities or hobbies do you participate yourself? - Skiing/snowboarding,In what activities or hobbies do you participate yourself? - Running,In what activities or hobbies do you participate yourself? - Hiking,In what activities or hobbies do you participate yourself? - Golf,In what activities or hobbies do you participate yourself? - Gardening,In what activities or hobbies do you participate yourself? - Fishing,In what activities or hobbies do you participate yourself? - Camping,In what activities or hobbies do you participate yourself? - Bicycling,In what activities or hobbies do you participate yourself? - Yoga,In what activities or hobbies do you participate yourself? - Book clubs,In what activities or hobbies do you participate yourself? - Eating out,In what activities or hobbies do you participate yourself? - Attending local sporting events,In what activities or hobbies do you participate yourself? - Visting museums,In what activities or hobbies do you participate yourself? - Kids' activities,In what activities or hobbies do you participate yourself? - Other,"In the last month, how many times have you used coupons when you visited a restaurant?",How do you find restaurant coupons? - Valpak/direct mail,How do you find restaurant coupons? - Coupon site or blog,How do you find restaurant coupons? - Groupon/other daily deal,How do you find restaurant coupons? - Store receipt offer,How do you find restaurant coupons? - Loyalty card reward,How do you find restaurant coupons? - Offer mentioned in media,How do you find restaurant coupons? - Other
5,2,4,5,1,1,1,,Kentucky,Burger King,Wendys,McDonalds,,1,1,1,2,1,2,4,4,5,,1,2,1,1,0,0,0,2,4,3,2,,,,,,,,7,insurance customer service,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,"walking, internet",5,1,,,,,6,
12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,1,3,1,4,1,,McDonalds,Subway,Chick-fil-a,Mexico Resturant,Pizza Hut,1,2,1,1,1,2,2,1,2,,1,2,2,3,2,1,,1,1,5,2,,,,,4,,,,Healthcare,,,,,,6,,8,9,10,,,,,,,,,,,,,,,14,15,,17,,2,1,2,3,,,,
29,2,6,1,1,3,1,,Continental,Chili's,Blue Goat,Roosevelt,Lemaire,2,2,2,2,1,2,2,1,1,,2,2,2,2,0,0,0,2,4,2,1,,,,,,5,,,chef,,,,,,,,,,,no children,1,,,,5,,,,,,11,12,,14,,,,,2,1,,3,,,,
105,2,5,1,1,3,1,,McDonalds,Little Cesears,Panera,,,1,1,1,1,1,1,1,1,,,1,3,2,2,0,1,1,4,3,1,1,,,,,,,6,,Student,,,,,5,6,7,8,,,,,,,,5,6,,,,,,,,14,,16,,"Painting, among other crafts.",3,,,,4,5,,
107,2,6,1,1,3,1,,ihop,ocharleys,waffle house,chickfila,wendys,1,2,1,4,1,1,1,1,1,,1,1,2,2,0,0,3,2,1,4,3,,,,,,,,7,retail,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,shopping,2,1,,,4,,6,
124,2,6,1,1,1,3,,Red Robin,Bertucci's,Chick FilA,,,1,2,1,2,1,2,2,2,3,,1,3,1,2,0,1,1,1,3,2,2,,,,,,5,,,,,,3,,5,,7,8,,10,,1,,,,,,,,,,,12,,,,,,Aerobics,4,1,2,,4,,6,
134,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2,7,7,1,1,1,,Apple Bee's,Five Guys,Au Bon Pain,Ledo's,Chili's,1,1,1,1,1,1,1,2,2,,1,2,1,2,,,,1,2,2,1,,,,,,,,7,Bookkeeper,,,,,,,,8,,,no children,,,,,5,,,,,10,,12,,,,,,,1,,,,,,,
140,2,3,6,1,1,2,,Cracker Barrell,Red Lobster,Ichiban Grill,Giovanni's,,2,1,1,2,1,1,2,1,3,,1,3,1,2,0,0,0,1,2,2,3,,,,,,,,7,customer service,,,,,,,,,,,none,,,3,,,,,8,,,,,,14,,16,,,2,1,2,,,,,
143,2,6,1,1,2,1,,Cook Out,,,,,2,3,1,2,2,2,2,2,2,,1,3,1,2,0,0,1,3,2,2,2,,,,,,,6,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,2,,2,,,,6,
156,2,,4,,,,,,,,,,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2,6,1,1,2,1,,Bell Cafe,,,,,2,2,2,1,1,1,1,1,1,,1,4,1,2,0,0,0,2,4,2,1,,,,,,,,7,web developer,,,,,,,,,,,none,,,,,,,,8,,,,,,,,,,church choir,1,,,,,,,
201,2,1,1,1,2,6,,Subway,Quiznos,Jasons,Jersey Mike,Panera Bread,1,1,1,1,1,2,1,1,1,,1,3,1,1,0,0,0,1,4,2,2,,,,,,5,,,Student,,,,,,,,,,,,1,,,,,,,,,,,,13,14,,16,,,2,1,,,4,5,,
238,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,2,5,1,1,1,2,,burger king,mcdonalds,pizza hut,five guys,subway,1,2,1,5,1,2,2,1,3,,1,3,1,3,0,1,1,1,1,3,2,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,14,,,,walking,2,,,,4,5,,
261,2,3,1,1,6,4,,Panera,Denney's,K & L Barbecue,Sagebrush,Croakers',2,1,1,1,2,2,2,2,4,,1,4,2,2,0,0,0,2,4,2,2,,,,,,,,7,Civil Service Management Analyst,,,,,,,,,,,NA,1,,3,,,,,8,,,,,13,14,15,16,17,"Attending Plays & Concerts, Attending & watching most college & pro sports events, Weight Machines",2,1,,,4,5,6,
266,2,7,1,1,2,1,,shangra la buffet,subway,,,,1,1,1,1,1,1,1,1,1,,1,3,1,2,0,0,0,1,4,1,1,,,,,,,6,,,,,,,,,,,,,,1,,3,,,,,8,9,,,,,14,,16,,,1,,,,,,,
32,2,3,5,1,1,2,,Golden Corral,,,,,1,1,1,2,1,1,1,1,1,,1,2,1,1,3,,,1,3,3,2,,,,,,5,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,17,,3,1,2,,,,,
38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2,7,,,,,,McDonalds,KFC,Hardee's,Pizza Hut,Local Pizzeria,1,2,1,3,1,1,1,1,2,,1,2,1,1,0,0,0,2,3,2,2,,,,,,,,7,Healthcare Nurse,,,,,,,,,,,No children,,,3,,,,,8,9,,,,,,,,,,1,,,,,,,
49,2,3,2,5,3,3,,Starbucks,California Tortilla,Tokyo Sushi,Ruby Tuesday,Applebees,1,2,1,1,1,1,2,1,2,,1,2,3,2,0,0,0,4,3,2,2,,,,,,,,7,,,,,,,,,,,,,1,,3,,,6,,,9,10,,,,14,15,16,,Group exercise and travel,2,,,3,4,5,6,
58,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2,3,2,2,2,3,,chick-fil-a,burger king,mcdonalds,subway,bojangles,1,1,1,2,1,2,2,1,5,,1,1,2,2,1,,,2,2,3,4,,,,,,5,,,Student,,,,,,,,,,,Basketball,1,,,,,,,,,,11,,,,,16,,,2,1,2,,,5,,
77,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2,2,1,1,1,7,,subway,top china,golding corral,chenellos,papa john,1,2,1,1,1,1,2,1,2,,1,2,1,2,,,,1,3,5,1,,,,3,,,,,fast food,,,,,,6,,,,,my children dont live at home,,,,,,,,,,,,,13,,,,,I do arts and craft,1,,,,,,,
89,2,5,1,2,2,1,,Chick-fil-a,Jersey Mikes,Taco Bell,Chili's,McDonalds,1,2,1,2,1,1,1,1,3,,1,1,1,1,0,0,0,2,3,4,2,,,,,,,6,,,,,,,,,,,,,No kids,1,2,3,,5,,,,,,,,,14,15,,17,,2,1,2,3,4,5,,
90,2,4,1,1,4,1,,Cookout,Taco Bell,McDonalds,Chipotle,Sonic,1,1,1,2,1,2,2,1,2,,1,1,2,2,0,1,3,2,1,2,2,,,,,,,6,,Student,,,,,,,,,,,,1,,,,5,6,,,,,,,,14,15,,,,1,,,,,,,
95,2,7,2,2,3,3,,quiznos,chickn fila,ruby tuesdays,fridays,wendys,1,1,1,1,1,1,1,1,1,,1,2,1,2,3,,,1,2,3,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,,2,,,,,,6,
99,2,1,1,1,7,1,,Lamer Resturant,Lamer Resturant,Lamer Resturant,Lamer Resturant,Lamer Resturant,1,2,1,1,1,2,2,1,1,,1,3,1,1,0,0,0,1,5,1,1,great,1,,,4,5,6,7,,,,,,,,,,,,none,,,3,,,,7,,,,,12,13,14,,,,,5,,,,,5,,
103,2,7,1,1,1,1,,Outback Steakhouse,,,,,1,1,1,2,1,1,2,1,2,,1,3,1,1,0,0,0,2,3,2,2,,,,,,,6,,retired/disabled,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,1,,,,,,,
113,2,3,1,1,5,2,,arbys,mcdonalds,wendys,taco bell,pizza hut,1,1,1,3,1,1,2,2,3,,1,2,2,2,1,2,0,1,4,3,2,,,,3,,,,,hospitality,,2,,,,6,,,,,gymnastics,,,,,,,,,,,,,,14,15,,17,,1,,,,,,,
114,2,6,1,1,4,1,,applebee,rudy tuesday,padow's,kanpal,crossflite,1,2,1,1,1,1,1,1,2,,1,3,2,3,16,,18,1,2,3,1,,,,,,,6,,,,,,,,6,,,,10,,1,,,,,,,,9,,,,,14,15,16,,,2,,,,4,,,
118,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2,4,,,3,3,,Sidewalk Cafe,Cookout,The Village,Kuba Kuba,821 Cafe,2,1,1,2,1,2,2,1,2,,1,1,1,3,0,0,3,1,2,1,2,,,,,,,,7,,,,,,,,,,,,,1,,3,,,,,,,,,,,14,,16,,,2,,2,,,,6,
126,2,4,4,4,4,4,,fridays,outback,ocharlies,applebees,olive garden,3,3,3,3,3,3,3,3,3,,1,3,1,2,0,1,0,2,2,2,2,,,,,,5,,,bus driver,,2,,,5,,,8,,10,,,,3,,,,,,,,,,,14,15,,,,3,1,,,,,,
127,2,7,1,1,1,1,,PRIMOS,APPBLEBEES,MCDONALDS,ARBYS,WENDYS,1,1,2,2,2,2,2,2,2,,1,2,2,2,2,1,,2,2,2,2,,,,,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,1,,,,,,,
138,2,6,1,1,1,1,,mcdonalds,burger king,wendys,sonic,subway,2,2,3,3,1,3,3,2,5,,1,2,3,2,1,0,0,1,2,2,3,,,,,,,,7,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,17,,1,,,,,,,
